tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
None,None,0,0,YES,"Dr. Chetan is good, I liked the way he is interacting with patient and companion. 
We visited Chetan twice, but on both the occasions we had to wait very long. (may be due to some emergency case in the ward), But hospital need to manage such situations, OP can't make wait such a long time even after prior approval.",2015-07-29 08:40:50,False,True,Aditi,,,
None,None,0,0,YES,Doctor showed patience while listening to our kids rashes problems.  We also found his way of treatment was fine.,2015-10-27 09:20:03,False,True,User,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,","Pediatric Vaccinations,Paediatric care,",0,0,YES,Dr. Chetan attends his patient respectfully and gives full attention to the problem. ** ** **** ************* *** explains the cause of the disease and put emphasis on the preventive care. He is a thorough gentleman with extensive experience. I would give him full marks.,2019-12-01 15:16:01,False,True,Verified Patient,,,
None,None,0,0,YES,With the doctor everything is good but by taking appointment also we have to wait mor than half an hour ,2015-09-08 11:05:18,False,True,SHRUTHI K R,,,
None,None,0,0,YES,Dr. Chetan is a very intelligent and humanistic. Appreciate the way he is treating. Dr. Chetan treated my child Meitraeyi Koul very well and we r very happy with doc. If I have to give marks I will give 1000 out of 100.,2015-06-03 08:05:32,False,True,MITRAYI,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Paediatric care,",0,0,YES,Practo arranged appointment with Doctor.. Registration was simple at hospital.. My child is feeling better now. ,2018-05-18 15:51:55,False,True,Verified Patient,,,
None,None,0,0,YES,"Very happy with the diagnosis, the understood the symptoms and cause very quickly.",2015-07-27 04:00:17,False,True,Anand,,,
None,None,0,0,YES,He counselled and attended very well which was a valuable and very good expeience leading to recover my son in speedy manner. thanks ,2016-01-23 10:37:17,False,True,Verified Patient,,,
None,None,0,0,YES,Doctor heard our Inputs with lot of Patience & answered for all our queries... His treatment was excellent.,2015-09-10 08:05:43,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Proctoscopy,",0,0,YES,He is really good.. I personally recommend him for all kids and toddlers... Explain reason perfectly ,2018-12-04 01:16:38,False,True,Verified Patient,,,
