tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
None,"Children's Health,",0,0,YES,"Previously I had visited this doctor and provided a low rating as the doctor suggested to examine my baby only with the medical file. I was bit disappointed as I had come from a far distance just to meet this doctor. 
This time met the doctor with all the required files and the doctor attended my baby with really good care and later explained me about the necessity of the medical file as why it’s important. Now  I feel that I took a hasty decision in providing a low rating because thinking from the doctors perspective he was right as the medical file is really important. 
5 stars to the doctor. ",2024-04-10 12:59:52,False,True,Bhavya,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Newborn Jaundice,Consultation provided for newborns ,Pediatric Vaccinations,",0,0,YES,"One of the finest,  coolest and friendly doctors I have ever met. It was a great journey since my baby born (Fortis La Femme) 2021 July till today the care and treatment given is flawless and un measurable. 

After somany years I met doctor who works in corporate hospitals suggest not to come to hospital for every small thing unnecessarily instead giving you strict instructions to visit immediately for anything 😀😀..  He will make you so comfortable and become close to you as a friend or family, you feel that so quickly after couple of visits. We go to visit him by traveling an hour even we have multiple hospitals around in our area R.T Nagar, because we feel so authentic, trusted and treatment is value for fee.

Thanks a lot sir being associated with us!! I wish you to reach hights with your attitude and quality of work!!",2023-04-06 11:49:45,False,True,Azad R,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Childhood Infections,",0,0,YES,Dr.Paras did a great job with my kid health exam. He explained everything to me in a very clear manner. He was also very kind and friendly. ,2022-03-15 03:09:37,False,True,Meenakshi Saran ,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Paediatric care,stomach and intestinal infections,",0,0,YES,"My son was having vomiting sensation issue and we had been to hospital. Dr Paras was very friendly with my son and the way doctor interacted is much appreciated. 

Thank you Dr. Paras! ",2021-10-04 14:02:58,False,True,Aruna,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Children's Health,",0,0,YES,"He is a very friendly doctor. Dedicated,, thoughtful, and compassionate doctor, he always go above and beyond and work tirelessly towards a healthy outcome. I feel so blessed to know and have him as my kid’s doctor.",2021-08-24 14:46:32,False,True,Naga Jyothi KJ,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Diet advise for infants and toddlers,",0,0,YES,The doctor has real good knowledge about the child feeding and nutrition habits. All our concern were addressed  in detail and practical solution for our child problems. Very happy. Thanks doctor,2020-03-04 13:20:14,False,True,Babulal Jain,,,
"Explanation of the health issue,","Newborn Jaundice,",0,0,YES,"I am completely satisfied with Dr. Paras Kumar. Doctor had explained Me very well about my baby health,and doctor is very helpful to us",2020-02-13 13:31:02,False,True,Suresha,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,","Child specialists ,",0,0,YES,Very nice and patient doctor. Gave reply to all the querries. Gave diseases specific medicine.suggestions were very helpful.,2020-01-01 08:54:20,False,True,Samipendu de,Thanks so much for your kind words,2020-01-02T13:44:30+0000,Dr. Paras Kumar J
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Neonatal Nursing,",0,0,YES,Sir is wll organised in filling the medical history of the child and keeping all the things in the observation at every visit ,2022-03-11 04:30:14,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,","Newborn Jaundice,Neonatal Nursing,",0,0,YES,Dr paras kumar j  he is nice and gud doctor. The doctor friendliness is very gud. Where he explanation of patient health issues  is very gud,2021-12-24 13:44:05,False,True,Verified Patient,,,
None,"Children's Health,",0,0,YES,"Previously I had visited this doctor and provided a low rating as the doctor suggested to examine my baby only with the medical file. I was bit disappointed as I had come from a far distance just to meet this doctor. 
This time met the doctor with all the required files and the doctor attended my baby with really good care and later explained me about the necessity of the medical file as why it’s important. Now  I feel that I took a hasty decision in providing a low rating because thinking from the doctors perspective he was right as the medical file is really important. 
5 stars to the doctor. ",2024-04-10 12:59:52,False,True,Bhavya,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Newborn Jaundice,Consultation provided for newborns ,Pediatric Vaccinations,",0,0,YES,"One of the finest,  coolest and friendly doctors I have ever met. It was a great journey since my baby born (Fortis La Femme) 2021 July till today the care and treatment given is flawless and un measurable. 

After somany years I met doctor who works in corporate hospitals suggest not to come to hospital for every small thing unnecessarily instead giving you strict instructions to visit immediately for anything 😀😀..  He will make you so comfortable and become close to you as a friend or family, you feel that so quickly after couple of visits. We go to visit him by traveling an hour even we have multiple hospitals around in our area R.T Nagar, because we feel so authentic, trusted and treatment is value for fee.

Thanks a lot sir being associated with us!! I wish you to reach hights with your attitude and quality of work!!",2023-04-06 11:49:45,False,True,Azad R,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Childhood Infections,",0,0,YES,Dr.Paras did a great job with my kid health exam. He explained everything to me in a very clear manner. He was also very kind and friendly. ,2022-03-15 03:09:37,False,True,Meenakshi Saran ,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Paediatric care,stomach and intestinal infections,",0,0,YES,"My son was having vomiting sensation issue and we had been to hospital. Dr Paras was very friendly with my son and the way doctor interacted is much appreciated. 

Thank you Dr. Paras! ",2021-10-04 14:02:58,False,True,Aruna,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Children's Health,",0,0,YES,"He is a very friendly doctor. Dedicated,, thoughtful, and compassionate doctor, he always go above and beyond and work tirelessly towards a healthy outcome. I feel so blessed to know and have him as my kid’s doctor.",2021-08-24 14:46:32,False,True,Naga Jyothi KJ,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Diet advise for infants and toddlers,",0,0,YES,The doctor has real good knowledge about the child feeding and nutrition habits. All our concern were addressed  in detail and practical solution for our child problems. Very happy. Thanks doctor,2020-03-04 13:20:14,False,True,Babulal Jain,,,
"Explanation of the health issue,","Newborn Jaundice,",0,0,YES,"I am completely satisfied with Dr. Paras Kumar. Doctor had explained Me very well about my baby health,and doctor is very helpful to us",2020-02-13 13:31:02,False,True,Suresha,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,","Child specialists ,",0,0,YES,Very nice and patient doctor. Gave reply to all the querries. Gave diseases specific medicine.suggestions were very helpful.,2020-01-01 08:54:20,False,True,Samipendu de,Thanks so much for your kind words,2020-01-02T13:44:30+0000,Dr. Paras Kumar J
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Neonatal Nursing,",0,0,YES,Sir is wll organised in filling the medical history of the child and keeping all the things in the observation at every visit ,2022-03-11 04:30:14,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,","Newborn Jaundice,Neonatal Nursing,",0,0,YES,Dr paras kumar j  he is nice and gud doctor. The doctor friendliness is very gud. Where he explanation of patient health issues  is very gud,2021-12-24 13:44:05,False,True,Verified Patient,,,
