tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
None,None,0,0,YES,The doctor explained the health issue very friendly way. The doctor is very polite and friendly. Highly recommend the doctor to others. ,2024-07-31 07:23:02,False,True,Verified Patient,,,
None,None,0,0,YES,Dr Rakhi Sircar was brilliant!!me being Bengali speaking person she understood that and asked me to speak Bengali !! She was good !! Listened the issue and quickly explained what’s the issue with my kid !! I will good to this Doc again for my kid is my gets better ,2024-05-30 07:35:24,False,True,Verified Patient,,,
None,"Childhood Infections,",0,0,YES,"She is a very good doctor,listens to problem and does not suggest too many medicine ..................
",2024-06-03 16:14:12,False,True,Verified Patient,,,
None,None,0,0,YES,"She is **** ****** *** very polite. Not too much medication was prescribed. Our first time experience was really good with her. Main thing is she is very close byand easily accessible pediatrician for me. So I am happy and recommend others to visit her once. Thank you doctor
",2024-01-10 07:27:19,False,True,Anita,,,
"Treatment satisfaction,","Consultation provided for newborns ,",0,0,NO,"Met Dr Rakhi Sircar at Nano Hospital. My kid, just 12 days old had caught cold and cough. A prescription of medicine was provided by her for 5 days. Also we were asked to meet back after 2 days for follow up. Baby was recovering and had no nose congestion when we meet again for follow up. Despite this Dr. Rakhi Sircar Recommended admission for the baby calling it serious and critical situation. We were mentioned the baby is underweight(2.7kg), should be injected drips, antibiotic and also kept in NICU. ** *********** ******** ********* *** ******** We decided not to go with admission *** **** ** ***** **** **** Appreciate Dr. Rakhi Sircar's prescription though.  ** **** ********* **** *** ************ We had taken a 2nd review *** **** **** * ********* Money wasn't a matter for us. We had insurance and all expenses would have been covered. *********** ********** *** ********* *** **** ******* ******* ******** ***** ** ****** ****** ** *** ******** ********** ***** ****** ************ *** ********** ******* *** ********* ******* ***** ***** **** **** *** *** ********* ",2021-10-06 05:38:31,False,False,Pankaj Sharma,,,
"Treatment satisfaction,","Children's Health,",0,0,YES,*** ****** ** *** *******.very friendly and has so much patience... while giving rating i tapped on single star..it has happened by mistake... I was about to give 5 stars and before tapping on all the stars the feedback got submitted... sorry for that....,2022-11-28 11:49:39,False,True,Mallika,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,","Pediatric Vaccinations,Paediatric care,",0,0,YES,"Doctor's explanation for each and every topic was really nice.
As this was my 1st visit to her..she explained about the kid eating part too with vaccination by herself with proper timings.
She almost covered everything..Visit was very much satisfactory for me..Thanks a lot Doctor Rakhi for all the advice given by you.. Will definitely recommend her for sure...
Warm Regards,
Neha",2019-12-20 18:38:32,False,True,NEHA,"Thank you so much Ms Neha for your positive feedback 
Means a lot 😊",2019-12-28T08:10:14+0000,Dr. Rakhi Sircar
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,","Children's Health,",0,0,YES,"Both my kids from 0 to 15 and 0 to 12 have been seeing Dr Rakhi Sircar. Very practical, well read, doesnt prescribe medicines unnecessarily, very caring, and kids health comes first for her. I dont think they make doctors like her anymore. Strongly recommend.",2019-09-04 09:36:47,False,True,Srini Atrey,I am so grateful to you for your kind words ...I only try to do my duty,2019-09-04T14:07:31+0000,Dr. Rakhi Sircar
None,"Childhood Infections,",0,0,YES,"Extremely friendly and genuine doctor. She provided to- the- point advice, without suggesting any additional unnecessary medication.",2023-09-21 03:22:01,False,True,Bhavani Raghavan ,,,
None,"Children's Health,",0,0,YES,**** **** ****** well explained about baby health isuue and how to take care of baby health thank u so much doctor,2023-08-08 11:38:24,False,True,Vipul Rai,,,
None,None,0,0,YES,The doctor explained the health issue very friendly way. The doctor is very polite and friendly. Highly recommend the doctor to others. ,2024-07-31 07:23:02,False,True,Verified Patient,,,
None,None,0,0,YES,Dr Rakhi Sircar was brilliant!!me being Bengali speaking person she understood that and asked me to speak Bengali !! She was good !! Listened the issue and quickly explained what’s the issue with my kid !! I will good to this Doc again for my kid is my gets better ,2024-05-30 07:35:24,False,True,Verified Patient,,,
None,"Childhood Infections,",0,0,YES,"She is a very good doctor,listens to problem and does not suggest too many medicine ..................
",2024-06-03 16:14:12,False,True,Verified Patient,,,
None,None,0,0,YES,"She is **** ****** *** very polite. Not too much medication was prescribed. Our first time experience was really good with her. Main thing is she is very close byand easily accessible pediatrician for me. So I am happy and recommend others to visit her once. Thank you doctor
",2024-01-10 07:27:19,False,True,Anita,,,
