tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Doctor friendliness,","Dental Implant Fixing,",0,0,YES,"I Visited here from Bokaro steel city, jharkhand for my daughter's implant treatment 
I pay my gratitude to Doctor Abhishek Sir and 
 Dr Archana mam for their kind support in all walks of my stay . 
  Both of them having their brilliant experience , friendly behaviour, and a great positive response to visitors are awesome.  
 Overall their smile serve smile face.
 Thank you ",2024-07-10 19:19:24,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","RCT - Root Canal Treatment,",0,0,YES,Very much satisfied with the treatment..Had gone for severe pain in my teeth and it was treated so well. ,2024-07-21 15:04:09,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Dental X-Ray,",0,0,YES,"He was extremely patient while dealing with me, explained the details regarding the reason for the pain and swelling and the treatment gave me quick relief and a fast recovery.

His friendliness was his strength and hope to continue treatment from him in future too.",2024-02-21 12:50:09,False,True,K VASUDEVAN,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,",None,0,0,YES,"I visited Dr Abhishek for dental examination and TMJ pains. He advised wisdom tooth removal and took all precautions like blood examination. OPG. X-ray antibiotics before extraction. extraction was a simple painless procedure and it was Surgical. After words healing was smooth and to my surprise TMG pains, decreased. Some sensitivity issues and gum, irritation issues still remain, which will be sorted out in a systematic manner. What I liked most was that Dr was not in a hurry and explained all issues in detail to my satisfaction.Thanks to Dr Abhishek .",2023-06-10 06:51:29,False,True,RAJIV K SHARMA,"Respected Sir,
Thanks for your very kind feedback .I am extremely grateful to you for taking time out from your busy schedule and penning this down.It means a lot to me and motivates me to simply give our best to the patients,
Warm Regards ,
Dr Abhishek Bhardwaj",2023-06-14T10:14:09+0000,Dr. Abhishek Bhardwaj
"Value for money,","Dental Cleaning,",0,0,NO,"I paid 4300 for a clean and a two minute consultation, which is exorbitant. ** ***** **** ** *********** **** ***** ******** ***** ******* ** *** **** The clean was fine, although my regular dentist is usually more thorough and gentle.",2024-04-13 04:17:50,False,False,Verified Patient,"Respected Madam ,
The prices were told to you before the starting of the procedure,Thanks for your feedback.",2024-04-16T02:29:58+0000,Dr. Abhishek Bhardwaj
"Doctor friendliness,Treatment satisfaction,","Dental Implant Fixing, Teeth cleaning & polishing,Dental Fillings,",0,0,YES,"Dr Abhishek Bhardwaj was excellent,  very eminent & experienced dentist doctor from whom I got my tooth implant & filling work done. I did have any problem during the treatment about the pain or any other issue. Very soft spoken & explained me thourhely during the treatment. Very nice dentist I met in my life. I rate him 10 out of 10 & recommend him to all my friends & relatives.",2023-07-08 07:30:14,False,True,Mukund Belagali,"Respected Sir ,
I will like to thank you for your very kind review myself and Dr Archana we try to give our best to the the patients and such kind words motivates us further to excel.It is always a pleasure to treat you sir ,
Warm regards ,
Dr Abhishek Bhardwaj",2023-07-10T02:27:28+0000,Dr. Abhishek Bhardwaj
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Implant Fixing,",0,0,YES,He handles patient with utmost care and makes patient extremely comfortable during treatment. I admire his competence.,2024-01-15 15:59:00,False,True,Puneet Kumar Rastogi,"Respected Sir , 
I am highly obliged for your very kind words ,it’s always been a pleasure to do your treatment .I wish the best of health for you ,
Regards,
Dr Abhishek Bhardwaj &Team Abhirachna 🙏",2024-01-20T13:37:47+0000,Dr. Abhishek Bhardwaj
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,Value for money,","Wisdom Tooth Extraction,",0,0,YES,Dr. Abhishek is very professional and he knows his job really well! I was extremely anxious when I figured I had to get my widsom tooth extracted but he sensed it as soon as I saw him and he put me to ease before and even during the treatment. He engages with his patients which is what makes his treatment process even smoother. Don't think twice before visiting the clinic! ,2022-11-10 16:25:36,False,True,Jini ,"Respected Madam,
Hope you are fine and doing well ,hope you are settled well now in Delhi ,I am really thankful to you  for the really kind words that you have penned down,sorry for replying late.
Regards,
Dr Abhishek Bhardwaj",2023-03-21T07:15:28+0000,Dr. Abhishek Bhardwaj
None,None,0,0,YES,"Dr.Abhishek is Simply Fabulous with his Approach to his patients! The most amiable, pretentious and modest doctor I have ever come across. He has the ability to make his patients at ease with his smile. He makes effort to individually study each of his case in detail and then come to a conclusion for various treatment options rather jump and imposs any treatment.

Thumbs up for this doctor! 
Most Highly Recommended!",2017-07-18 17:59:12,False,True,Kommula Sneha Maria,,,
"Doctor friendliness,Explanation of the health issue,Value for money,Wait time,Treatment satisfaction,","Dental Surgery,Dental X-Ray,",0,0,YES,He is very friendly and got a huge database of knowledge. Doctor helped me with the detailed description of my dental problem and helped me with the understanding of the procedure and precautions that I need to take. His staff is also very polite and friendly.,2017-10-17 07:27:06,False,True,Varun Vashistha,,,
