tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Doctor friendliness,Explanation of the health issue,Value for money,Wait time,",None,0,0,YES,"Nats made me so still home that I forgot the fear of my tooth pain and the treatment to follow. Also it's so important to hear the clear version of what's happening to your teeth and with so much patience.

I am bowler over and am very happy to find this clinic.",2017-09-29 04:48:45,False,True,sushma,,,
"Explanation of the health issue,Treatment satisfaction,",None,0,0,YES,Yesterday was my third visit and i find her to be a great doctor. She is very confident and was kund to explain to me in details about her observations about my oral condition. She is extremely reasonable and honest. The thing which strikes me most about her is the confidence and to me thats comes from sheer knowledge about the subject.....,2017-09-29 04:30:48,False,True,MR. SABY,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Fillings,",0,0,YES,"I had my braces done from here and Dr. Anupam did an exceptional job. It’s been almost ten years and have never had any issues.
Dr. Natalia did my fillings and they are the cleanest pair of fillings I have seen. 
Extremely friendly doctors with a gentle touch and regard for the patient. They know what’s best.",2021-01-21 07:20:04,False,True,Arvind Gupta,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,",None,0,0,YES,Dr Natalia Sinha was very sweet talking to. Before starting the treatment she explained v well to us  She studied all r medical files so patiently nd told us the process. Dr Natalia is v gentle nd affectionate  Appreciable. I would definately recommend everyone for dental treatment. She is too good in her profession ,2018-01-05 02:07:17,False,True,Meenakshi Marwah,,,
"Treatment satisfaction,Value for money,Wait time,Explanation of the health issue,Doctor friendliness,",None,0,0,YES,"Dr Natalia is a superb dentist with the genuine heart of a healer. *** ***** *** ****** ** * ****** ** **** ** **** ****** My teenage son had been advised  complex and prohibitively expensive treatments by other consultants; however I was fortunate to encounter Orion and Dr. Natalia, and now 2 sittings later all the issues are resolved with minimal invasive procedure, barely any pain, almost no medication and loads of care for the long term health of the patient. All this for a reasonable fee. We highly recommend Dr. Natalia and Orion as a sureshot answer to your dental issues. Grateful to have been directed here. Thanks very much.",2017-08-05 18:12:59,False,True,Verified Patient,,,
None,None,0,0,YES,"Absolutely fantastic experience. I found Dr. Natalia to be both confident and competent. Very few people engage with patients the way she did - explaining the problem, the line of treatment, how long it would take and next steps. During the procedure, she would encourage me by saying I am doing very well and keep checking how I was doing.
The music in the background and the informal banter made the whole experience very relaxing.",2017-01-19 06:23:16,False,True,Vinit Taneja,,,
None,None,0,0,YES,"*** ******* ** * ****** ******, I am very very impressed with her quick decicive judgement on patient. She completely cured my 84 years old ma-in-law who was sufferering from worst mouth ulcer for last 6 years. I will always be indebted to her. Thank you Natalia.",2016-06-30 05:17:42,False,True,Deep Kumar Dhali,,,
None,"Toothache,",0,0,YES,"I had 4 appointments with Dr. Natalia Desilva for a root canal treatment. She is a great doctor, always making sure I wasn't feeling any pain. Explaining me in details what the problem was about, and how she would address it was very helpful. Besides, she was always time. I would definitely recommend Dr. Natalia Desilva to anyone looking for a comprehensive, skilled and gentle doctor.",2016-05-24 15:46:00,False,True,Walfroy Desbans,,,
None,"Scaling / Polishing,",0,0,YES,Dr DeSilva is the friendliest dentist I have met. She is a thorough professional! Would highly recommend her!,2022-08-28 16:20:38,False,True,Adhitya Srinivasan,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Toothache,",0,0,YES,Very professional set-up. Doctors tell you exactly what the problem is and put you at ease immediately.,2018-03-10 15:46:24,False,True,Sanjeev Singh,,,
"Doctor friendliness,Explanation of the health issue,Value for money,Wait time,",None,0,0,YES,"Nats made me so still home that I forgot the fear of my tooth pain and the treatment to follow. Also it's so important to hear the clear version of what's happening to your teeth and with so much patience.

I am bowler over and am very happy to find this clinic.",2017-09-29 04:48:45,False,True,sushma,,,
"Explanation of the health issue,Treatment satisfaction,",None,0,0,YES,Yesterday was my third visit and i find her to be a great doctor. She is very confident and was kund to explain to me in details about her observations about my oral condition. She is extremely reasonable and honest. The thing which strikes me most about her is the confidence and to me thats comes from sheer knowledge about the subject.....,2017-09-29 04:30:48,False,True,MR. SABY,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Dental Fillings,",0,0,YES,"I had my braces done from here and Dr. Anupam did an exceptional job. It’s been almost ten years and have never had any issues.
Dr. Natalia did my fillings and they are the cleanest pair of fillings I have seen. 
Extremely friendly doctors with a gentle touch and regard for the patient. They know what’s best.",2021-01-21 07:20:04,False,True,Arvind Gupta,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,",None,0,0,YES,Dr Natalia Sinha was very sweet talking to. Before starting the treatment she explained v well to us  She studied all r medical files so patiently nd told us the process. Dr Natalia is v gentle nd affectionate  Appreciable. I would definately recommend everyone for dental treatment. She is too good in her profession ,2018-01-05 02:07:17,False,True,Meenakshi Marwah,,,
"Treatment satisfaction,Value for money,Wait time,Explanation of the health issue,Doctor friendliness,",None,0,0,YES,"Dr Natalia is a superb dentist with the genuine heart of a healer. *** ***** *** ****** ** * ****** ** **** ** **** ****** My teenage son had been advised  complex and prohibitively expensive treatments by other consultants; however I was fortunate to encounter Orion and Dr. Natalia, and now 2 sittings later all the issues are resolved with minimal invasive procedure, barely any pain, almost no medication and loads of care for the long term health of the patient. All this for a reasonable fee. We highly recommend Dr. Natalia and Orion as a sureshot answer to your dental issues. Grateful to have been directed here. Thanks very much.",2017-08-05 18:12:59,False,True,Verified Patient,,,
None,None,0,0,YES,"Absolutely fantastic experience. I found Dr. Natalia to be both confident and competent. Very few people engage with patients the way she did - explaining the problem, the line of treatment, how long it would take and next steps. During the procedure, she would encourage me by saying I am doing very well and keep checking how I was doing.
The music in the background and the informal banter made the whole experience very relaxing.",2017-01-19 06:23:16,False,True,Vinit Taneja,,,
None,None,0,0,YES,"*** ******* ** * ****** ******, I am very very impressed with her quick decicive judgement on patient. She completely cured my 84 years old ma-in-law who was sufferering from worst mouth ulcer for last 6 years. I will always be indebted to her. Thank you Natalia.",2016-06-30 05:17:42,False,True,Deep Kumar Dhali,,,
None,"Toothache,",0,0,YES,"I had 4 appointments with Dr. Natalia Desilva for a root canal treatment. She is a great doctor, always making sure I wasn't feeling any pain. Explaining me in details what the problem was about, and how she would address it was very helpful. Besides, she was always time. I would definitely recommend Dr. Natalia Desilva to anyone looking for a comprehensive, skilled and gentle doctor.",2016-05-24 15:46:00,False,True,Walfroy Desbans,,,
None,"Scaling / Polishing,",0,0,YES,Dr DeSilva is the friendliest dentist I have met. She is a thorough professional! Would highly recommend her!,2022-08-28 16:20:38,False,True,Adhitya Srinivasan,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Toothache,",0,0,YES,Very professional set-up. Doctors tell you exactly what the problem is and put you at ease immediately.,2018-03-10 15:46:24,False,True,Sanjeev Singh,,,
