tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Gap Closing,",0,0,YES,The entire experience was very worthwhile. I found your approach to be not only professional but also very reassuring. The friendly environment you and your team create made me feel comfortable and well taken care of.,2024-07-04 17:09:10,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,","Invisible/Clear Braces,",0,0,YES,"I have been treated by Dr Jignesh and the team since 2 years now. The experience has been great, timely follow ups and all my queries have been resolved. The clear aligners also have been really effective in my dental treatment.

- Divyanshu


",2024-07-02 05:40:36,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,","Invisible/Clear Braces,Dental Fillings,",0,0,YES,"Dr Jignesh Kothari is extremely polite and friendly in this approach. He explains the entire process before starting the dental treatment with Invisalign. Though the procedure is costly, he explained the rationale for it.  My teeth alignment is taking place as per schedule and doctor makes it a point to personally examine alignments everytime before handing over next set of aligners. Alloted time slots help in reducing wait time at the clinic. Thank you Dr Kothari for a wonderful experience so far.",2024-04-13 13:59:15,False,True,NEHA AZAD,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Aesthetic Dentistry,",0,0,YES,The doctors I met are amazing! They’re so well planned and everything is done so efficiently. The clinic is so clean.Also Value for money! Latest technology. They do not overcharge either. *** **** ******** * ***** ****,2024-05-25 13:49:22,False,True,Riyaa Sharma,,,
"Doctor friendliness,Treatment satisfaction,","invis align,",0,0,YES,Overall satisfied with ongoing treatment. Doctor is well experienced and friendly in nature and recommended.,2024-05-19 05:13:00,False,True,Rashmi Solleti,,,
None,None,0,0,NO,"I have undergone for dental treatment with Dr. Jignesh Kothari (Chaya Dental Clinic), Santacruz West.
It started in year 2011 (December), he put metal braces for nine months, which costed me Rs 45000, which I was told by the doctor that it includes whole treatment.
Then, they had to extract one tooth, which I was charged Rs 500 (Tooth Extraction Fees)! on asking why is it excluded from main treatment payment, I got an answer, Because it was done by his wife, and she have different account ???????? Really, I was like Ok!
After taking treatment, during the time of putting retainers, I was provided bad quality retainers, which got spoiled within two months, I requested for a replacement, they started charging Rs. 1200 for each. They kept providing bad quality retainers which will go off within few months, they kept charging me every time which is increased to 2000 Rs, now!
Lately, I bought one more retainer for 2000 Rs. which broke just within a month, i requested for a replacement they are still charging me for that too. I have chosen to stop my treatment with him! It's highly disappointing ! 
Lastly, his work is good but money is certainly there priority, which they will suck out of you by petty reasons ! Be prepared to be looted ! ",2015-10-14 10:26:46,False,False,PARIDHI KOTHARI,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Straightening Teeth (Invisalign) ,Invisalign Orthodontics,Orthodontic Treatment,Teeth Straightening,Composite Bondings,",0,0,YES,"Invisalign is the perfect treatment option to fix orthodontic problems discreetly and with superior patient comfort.
The freedom to eat anything you like with little additional effort required to keep your teeth and aligners clean makes the process extremely convenient.

My Invisalign experience with Dr. Kothari was excellent. He created a treatment plan catering to my requirements and executed it with great attention to detail. His team enabled a smooth, effortless treatment with constant communication and a warm, helpful approach to any required assistance. The outcome of the treatment exceeded my expectations.

I recommend Dr. Jignesh Kothari for a flawless dental treatment experience.",2021-06-29 23:03:59,False,True,Megh,Thank you 😊,2021-07-04T14:14:22+0000,Dr. Jignesh Kothari
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Metal Braces Fixing,",0,0,YES,"Right from the time we first met Dr.Jignesh Kothari and until the day my daughter’s braces finally came off our interaction with him has been nothing but perfect! 

Everything about the clinic and the doctor are impressive. The way he carries himself, exuding an aura of calm professionalism, the way he puts you at complete ease, the staff is extremely cooperative and courteous, even the very melodious music playing in the clinic all adds to the amazing experience of a patient. Infact, we use to look forward to visiting the clinic every month because of all these positive factors! 

Thank you very much Dr.Kothari and his team! We are fortunate to have chosen you as our orthodontist!",2020-11-04 03:59:46,False,True,Ritika Mody,Thank you 😊,2020-12-11T08:09:18+0000,Dr. Jignesh Kothari
"Doctor friendliness,","Invisible/Clear Braces,",0,0,YES,"Finally I’m very very happy to smile like never before 😁 all this happen because of Dr jignesh Kothari sir.One of the best dental Invisalign treatment clinic in the Mumbai.
They are an excellent Invisalign provider. 
They have a very professional team that ensures you are completely satisfied with your dental care.I was able to get my Invisalign done for a very affordable price, and their staff is fantastic!  Dr. Jignesh Kothari sir attention to detail is impeccable, and the overall-experience was top-notch. Thank you for your sincere efforts in creating a patient's smile.",2022-06-03 13:50:13,False,True,AJITESH GOUD,,,
"Doctor friendliness,Treatment satisfaction,Explanation of the health issue,Value for money,","Invisible/Clear Braces,",0,0,YES,Started off with my Invisalign treatment in Oct 2017 and as per the treatment duration by Dec 2018 it was supposed to be completed. But due to some personal emergency reasons I could not complete my treatment because of a long gap of 2 monhs & so Dr. Jignesh has decided to restart my Invisible braces treatment with no additional charges being asked for. Really appreciate that as a Doctor he is keen on treating the patient properly giving me that treatment satisfaction which I believe is what we all look forward to when your paying a huge amount for such treatments. ,2019-01-25 11:55:07,False,True,Reshma Nair,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Gap Closing,",0,0,YES,The entire experience was very worthwhile. I found your approach to be not only professional but also very reassuring. The friendly environment you and your team create made me feel comfortable and well taken care of.,2024-07-04 17:09:10,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,","Invisible/Clear Braces,",0,0,YES,"I have been treated by Dr Jignesh and the team since 2 years now. The experience has been great, timely follow ups and all my queries have been resolved. The clear aligners also have been really effective in my dental treatment.

- Divyanshu


",2024-07-02 05:40:36,False,True,Verified Patient,,,
