tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Growth & Development Evaluation / Management,",0,0,NO,"She clearly fails to communicate with her patients and has no compassion and value of time. As directed  took 9 test on Friday and collected the reports on saturday and went her the same day. We are told, "" such cases are dealt only on wednesday. She could have informed us the same on friday. We requested  her but in vain#. As much as she sticks to her work ethics and values her time she could have  respect her patients time and money. **********  *** *************  ** **** *** ***** ** ******** ",2022-07-30 18:17:55,False,False,Verified Patient,,,
"Doctor friendliness,","Growth & Development Evaluation / Management,",0,0,NO,"I got my daughter for the check up, the doctor is such a rude person **** ***** **** **** **** ** *** she spoke so rudely to my daughter even though she is was unwell she spoke false language saying not to give her food and phone, instead consultation she mocked at her with vulgar language **** *** *** *** *** ***** *** **** *** ** *** *** *************** ******** ******* ** *** ***** ******* ** ****** ********** **** *** ***** ***** ***** **** I recommend u not to go **** ****** *** **** **** ***** *** *** ************ I just had bad experience *** ***** ******* ** ** ************ ** ***** **** **** **** **** **** *** ** **** **** ***** ** **** ** ** ******* ************ *** ** *** **** *** **** *** **** ** **** * ********** ",2021-06-14 08:42:02,False,False,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,","Endocrinology Children,",0,0,YES,Doctor is Very friendly. Treatment plan easily explained. Confident of doctors advise .Value for medicine. Good pharmacy. ,2020-01-16 09:59:58,False,True,Sandeep Varma ,,,
"Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Growth & Development Evaluation / Management,",0,0,NO,"She clearly fails to communicate with her patients and has no compassion and value of time. As directed  took 9 test on Friday and collected the reports on saturday and went her the same day. We are told, "" such cases are dealt only on wednesday. She could have informed us the same on friday. We requested  her but in vain#. As much as she sticks to her work ethics and values her time she could have  respect her patients time and money. **********  *** *************  ** **** *** ***** ** ******** ",2022-07-30 18:17:55,False,False,Verified Patient,,,
"Doctor friendliness,","Growth & Development Evaluation / Management,",0,0,NO,"I got my daughter for the check up, the doctor is such a rude person **** ***** **** **** **** ** *** she spoke so rudely to my daughter even though she is was unwell she spoke false language saying not to give her food and phone, instead consultation she mocked at her with vulgar language **** *** *** *** *** ***** *** **** *** ** *** *** *************** ******** ******* ** *** ***** ******* ** ****** ********** **** *** ***** ***** ***** **** I recommend u not to go **** ****** *** **** **** ***** *** *** ************ I just had bad experience *** ***** ******* ** ** ************ ** ***** **** **** **** **** **** *** ** **** **** ***** ** **** ** ** ******* ************ *** ** *** **** *** **** *** **** ** **** * ********** ",2021-06-14 08:42:02,False,False,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,","Endocrinology Children,",0,0,YES,Doctor is Very friendly. Treatment plan easily explained. Confident of doctors advise .Value for medicine. Good pharmacy. ,2020-01-16 09:59:58,False,True,Sandeep Varma ,,,
"Doctor friendliness,Wait time,Value for money,","Paediatric care,",0,0,NO," Being a pediatrician, the doctor is not very friendly to her patients/ patient's parents. First the assistant doctor **** ***** *** ** telling you to stop using feeding bottles, why don't you breast feed the baby *** ***** *********** ********** then this doctor will repeat the same questions *** ********* *** *** ********",2020-02-11 08:47:45,False,False,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,","Thyroid Disease in Children,",0,0,YES,she was really nice and explained us issues with our kid's health and suggested best way treat it as well ,2020-02-12 18:51:37,False,True,Verified Patient,,,
"Treatment satisfaction,Doctor friendliness,Explanation of the health issue,","Diabetes Peripheral Neuropathy assessment (Biothesiometer),",0,0,YES,"Speaks to the point and guides us appropriately.
Specific diet was explained in general to have control on the potential impact on diabetes.",2021-10-29 04:48:03,False,True,Verified Patient,,,
"Treatment satisfaction,","Gestational Diabetes Management,",0,0,YES,Last two Months back my mother health check up purpose I went hospital after My Mother got Good Result.,2020-11-24 07:50:40,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Children's Health,",0,0,YES,"Good Doctor. Does explain the procedure. Most important of all, she does not recommend more tablets. Tries to cure naturally. ",2020-02-09 04:27:33,False,True,Verified Patient,,,
