rank,id,doctor_id,practice_id,image_url,profile_url,doctor_name,specialization,qualification,college,completion_year,qualification.1,college.1,completion_year.1,experience_years,practice_city,practice_locality,practice_type,practice_name,consultation_fees,summary,recommendation_percent,patients_count,reviews_count,timestamp,position,Unnamed: 26,gender
1,90751,204290,663903,https://imagesx.practo.com/providers/dr-s-samundi-sankari-infertility-specialist-chennai-fecba3e8-2c6e-4d7a-9ba7-38cdb445c6f4.jpg,/chennai/doctor/dr-s-samundi-sankari-gynecologist-obstetrician-1-204290?practice_id=663903&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. S.Samundi Sankari,Gynecologist,MBBS,"Madras Medical College, Chennai",1972,MD - Obstetrics & Gynaecology,"Madras Medical College, Chennai",1981.0,52,Chennai,Ramapuram,Hospital,Srushti Fertility Centre & Women's Hospital,750,"With more than 39 years Of Professional Experience, Dr. Samundi Sankari has secured a reputation as One Of The Most Respected Medical Experts in the Fertility Field in India. In Addition To Overseeing A Trust And Heading Two Leading Fertility Centres In Chennai, The Doctor-and Mother-has Been Awarded Numerous Honorary Posts, Published Countless Scientific Studies, And Offered Her Knowledge At Conferences And Symposiums Around The World.  For Her Efforts, Orlando's Association Of Tamil Nadu Medical Graduates Deemed Dr. Sankari The ""Distinguishing Physician"", In 2001.  Dr. Sankari Presently Serves In No Fewer Than Three Concurrent Roles Within Her Field Of Expertise: As Chairperson For Srushti Hospital Pvt. Ltd., A 100-bed Multi-specialty Facility Focused On Women & Children; As Founder & Managing Trustee With The Srushti Medical Research Foundation, An Ngo That Provides Support For Infertility, Cancer, Aids, Female Infanticide, Malnutrition Of Pregnant And Post-natal Women; And As Medical Director For The Ivf & Genetics Department At The Srushti Fertility Centre, Offering Ongoing Research On Fertility, Genetics And Andrology.",93.0,1088,173,"8/7/2024, 8:16:05 PM",2,,female
2,734724,565041,1255075,https://imagesx.practo.com/providers/dr-jaishree-gajaraj-gynecologist-chennai-80a6868e-6f5d-40d9-92c3-ac199236f438.jpg,/chennai/doctor/dr-jaishree-gajaraj-4-gynecologist-obstetrician?practice_id=1255075&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Jaishree Gajaraj,Gynecologist,MBBS,"Madras University, Chenai, India",1980,DGO,"Madras University, Chenai, India",1984.0,44,Chennai,Anna Nagar,Hospital,MGM Healthcare,800,,88.0,17,3,"8/7/2024, 8:16:05 PM",3,,female
3,876613,533618,1255075,https://imagesx.practo.com/providers/dr-vanitha-shri-gynecologist-chennai-3c29c321-6eda-4e17-b71f-942d702c5efb.jpg,/chennai/doctor/dr-vanitha-shri-gynecologist-obstetrician?practice_id=1255075&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Vanitha Shri,Gynecologist,MBBS,"Sri Ramachandra University, Chennai",2003,DNB - Obstetrics & Gynecology,National Board Of Examination,2009.0,21,Chennai,Anna Nagar,Hospital,MGM Healthcare,800,"Dr. Vanitha Shri is specialized is an experienced Gynecologist and has worked in several Hospitals and gained immense experience in this field. She has worked in various reputed institutions in Tamil Nadu And Andhra Pradesh. She is currently a Consultant at MGM Healthcare, Aminjkarai. She has a special interest in Treating Infertility patients. She handles High-risk pregnancies and specialized in Deliveries and does Caesarean only if its necessary. Dr does Advanced Laparoscopic Gynec work. She is fluent in Tamil, English, Telugu, and Kannada.",94.0,109,91,"8/7/2024, 8:16:05 PM",5,,female
4,442463,498496,706234,https://imagesx.practo.com/providers/dr-lakshmi-devarajan-general-physician-chennai-e16ae616-38f0-4f72-a250-8a4179383585.jpg,/chennai/doctor/lakshmi-devarajan-radiologist?practice_id=706234&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Lakshmi Devarajan,Gynecologist,MBBS,"Stanley Medical College & Hospital , Chennai",1972,MD - Obstetrics & Gynaecology,University of Delhi,1976.0,52,Chennai,Shenoy Nagar,Hospital,Billroth Hospitals,650,,71.0,7,5,"8/7/2024, 8:16:05 PM",6,,female
5,934824,208708,663903,https://imagesx.practo.com/providers/dr-divya-sivaraman-gynecologist-chennai-0d67d155-a6a9-4702-8b00-ebd787202556.jpg,/chennai/doctor/dr-divya-sivaraman-gynecologist-obstetrician?practice_id=663903&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Divya Sivaraman,Gynecologist,MBBS,"Sri Ramachandra University, Chennai",2003,DNB - Obstetrics & Gynecology,"National Board of Education, New Delhi",2011.0,21,Chennai,Ramapuram,Hospital,Srushti Fertility Centre & Women's Hospital,750,"Dr. Divya Sivaraman graduated in obstetrics and gynaecology from India and pursued her higher training from the UK. She acquired diplomas from the Royal college on obs and gyn and family planning. She qualified in reproductive medicine and got trained by the specialists in minimal access surgery and high risk obstetrics with a special interest in subfertility.   Dr. Divya has attended many courses and presented in conferences on embryology, O&G and management skills. She has grown and evolved with Srushti with constant training from her mentor, Dr. Sankari and is currently a consultant and director of medical services of Srushti Hospital.  She has a lot of interest in clinical governance and enthusiastic in practicing recent trends in ART. She puts in a keen interest in the training of junior medical staff. She believes being compassionate to patients is her main strength. Her special interests are research, charity and music. Dr. Divya Sivaraman is an advanced infertility specialist of international repute. She has over 12 years of experience in treating complex infertility conditions. She has finished a fellowship in infertility from AICOG.",95.0,220,35,"8/7/2024, 8:16:05 PM",8,,female
6,677302,738887,1255075,https://imagesx.practo.com/providers/dr-lakshmi-aswathaman-gynecologist-chennai-191c3dc0-2ab9-44e1-8e3c-454d6dcdd6b3.jpg,/chennai/doctor/dr-lakshmi-aswathaman-obstetrics-gynecology?practice_id=1255075&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Lakshmi Aswathaman,Gynecologist,MBBS,"University Of Madras, India",1980,MD - Obstetrics & Gynaecology,"Madras Medical College, Chennai",1989.0,44,Chennai,Anna Nagar,Hospital,MGM Healthcare,800,,100.0,1,1,"8/7/2024, 8:16:05 PM",9,,female
7,505919,541189,1029288,https://imagesx.practo.com/providers/dr-niroopa-arun-obstetrician-chennai-78230690-32da-46ba-b8e7-a8fdfaf1d8f4.jpg,/chennai/doctor/dr-niroopa-arun-gynecologist-obstetrician-1?practice_id=1029288&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Niroopa Arun,Gynecologist,MBBS,"Sri Ramachandra University, Chennai",2008,MS - Obstetrics & Gynaecology,"Sri Ramachandra University, Chennai",2012.0,16,Chennai,Kilpauk,Hospital,Murugan Hospitals,250,"Dr. Niroopa Arun is an Obstetrician and Gynecologist in Kilpauk, Chennai and has an experience of 7 years in these fields. Dr. Niroopa Arun practices at Murugan Hospital in Kilpauk, Chennai. She completed MBBS from Sri Ramachandra Medical College in 2009 and MS - Obstetrics and Gynaecology from Sri Ramachandra Medical College in 2012.",80.0,5,2,"8/7/2024, 8:16:05 PM",10,,female
8,898021,1108665,677464,https://imagesx.practo.com/providers/dr-rani-r-gynecologist-chennai-4c3d67ce-5301-4418-a17e-f6796b00f327.jpg,/chennai/doctor/dr-rani-r-gynecologist-obstetrician?practice_id=677464&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Rani R,Gynecologist,MBBS,The Tamil Nadu Dr. M.G.R. Medical University (TNMGRMU),1998,DGO,The Tamil Nadu Dr. M.G.R. Medical University (TNMGRMU),2004.0,26,Chennai,Pulianthope,Hospital,Pride Super Speciality Hospital (formerly Muthu Hospital),1000,,100.0,2,1,"8/7/2024, 8:16:05 PM",12,,female
9,363114,432096,848902,https://imagesx.practo.com/providers/dr-usha-gynecologist-chennai-1bfdefd7-2c1b-4cbd-be61-d3f75e23497f.jpg,/chennai/doctor/dr-usha-7-gynecologist-obstetrician-2?practice_id=848902&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Usha,Gynecologist,MBBS,Madurai Medical College,2005,MD - Obstetrics & Gynaecology,The Tamil Nadu Dr. M.G.R. Medical University (TNMGRMU),2010.0,19,Chennai,Tambaram West,Clinic,"Usha Hospital-Fertility,Maternity & Child Care (formerly Vishnu Clinic)",500,,98.0,1312,330,"8/7/2024, 8:16:05 PM",13,,female
10,574604,589036,1141881,https://imagesx.practo.com/providers/dr-amudha-arumugam-obstetrician-chennai-8f6e4f13-68c5-408d-9e1d-fb4c8da25e6d.jpg,/chennai/doctor/dr-amudha-arumugam-gynecologist-obstetrician?practice_id=1141881&specialization=Gynecologist&referrer=doctor_listing&page_uid=6a2644ea-dbbe-46d6-866a-48906d9724c2,Dr. Amudha Arumugam,Gynecologist,MBBS,"J.S.S Medical College, Mysore",1991,MD - Obstetrics & Gynaecology,The Tamil Nadu Dr. M.G.R. Medical University (TNMGRMU),2002.0,33,Chennai,Anna Nagar East,Clinic,The Mint Clinic,500,"Dr Amudha Arumugam an OBGyn Consultant and general physician with surgical skills. I have been in this field since 2004 after my post-graduation. I have in Meenakshi Medical College as Assistant Professor and then joined Kilpauk Medical College as ICMR Research Scientist in the OBG department under the central government. Meanwhile, working as a private consultant in MInt Clinic. Before my Post`graduation, I was working as a general physician. Patient safety and satisfaction is my priority",100.0,27,13,"8/7/2024, 8:16:05 PM",15,,female
