tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Gynae Problems,",0,0,YES,She heard the problem with patience and explained the problem. Her wait time was lesser and her experience helped. ,2024-07-27 05:18:34,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Gynae Problems,",0,0,YES,"She is tooooooo good !!! Absolutely fabulous , friendly and clear with her instructions , recommend her to everyone ",2021-02-10 13:42:46,False,True,Yogita,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,","Pregnancy Check Up,",0,0,YES,"For me she means alot 
Because of her only what am i today experiencing! 
Her affection and her care for her patients is really nice and worth appreciable. 
Highly recommended to all.  ",2021-02-09 13:37:29,False,True,MANVI,,,
,,0,0,YES,I am satisfied with doctor Nancy. she is very calm. she listen all the queries very carefully. I am blessed with a baby girl under her tending. thank you doctor ,2021-02-08 17:57:07,False,True,nivedta,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,Value for money,","Pap Smear,",0,0,YES,"Soft spoken, easily understandable, well explained about the medications and advice what to do and what not to do and she didn’t let me feel uncomfortable. She is super nice and expert in her field. Really happy that I consult her for my problems",2023-05-08 13:53:06,False,True,Verified Patient,,,
"Doctor friendliness,","Pregnant,",0,0,NO,"wastage of money! *** ****** ** ** ** **********she was asking to come to her clinic. when I insisted, she just gave me name of medicine over chat. no call. she attended me only through chat.",2023-12-03 06:21:00,True,False,Verified Patient,,,
"Explanation of the health issue,","Gynae Problems,",0,0,YES,"Very good 
Helps me very well 
Satisfied
Services are also nice
Knowledgeable
Understandable
Great
Keep it up",2023-06-27 13:51:04,False,True,Verified Patient,,,
"Doctor friendliness,Treatment satisfaction,","Gynae Problems,",0,0,YES,"This doctor very friendly & listen carefully your problems, & very intelligent doctor, we are fully satisfied this doctor ",2023-01-22 05:58:59,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Gynae Problems,",0,0,YES,She heard the problem with patience and explained the problem. Her wait time was lesser and her experience helped. ,2024-07-27 05:18:34,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Gynae Problems,",0,0,YES,"She is tooooooo good !!! Absolutely fabulous , friendly and clear with her instructions , recommend her to everyone ",2021-02-10 13:42:46,False,True,Yogita,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,","Pregnancy Check Up,",0,0,YES,"For me she means alot 
Because of her only what am i today experiencing! 
Her affection and her care for her patients is really nice and worth appreciable. 
Highly recommended to all.  ",2021-02-09 13:37:29,False,True,MANVI,,,
,,0,0,YES,I am satisfied with doctor Nancy. she is very calm. she listen all the queries very carefully. I am blessed with a baby girl under her tending. thank you doctor ,2021-02-08 17:57:07,False,True,nivedta,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,Value for money,","Pap Smear,",0,0,YES,"Soft spoken, easily understandable, well explained about the medications and advice what to do and what not to do and she didn’t let me feel uncomfortable. She is super nice and expert in her field. Really happy that I consult her for my problems",2023-05-08 13:53:06,False,True,Verified Patient,,,
"Doctor friendliness,","Pregnant,",0,0,NO,"wastage of money! *** ****** ** ** ** **********she was asking to come to her clinic. when I insisted, she just gave me name of medicine over chat. no call. she attended me only through chat.",2023-12-03 06:21:00,True,False,Verified Patient,,,
"Explanation of the health issue,","Gynae Problems,",0,0,YES,"Very good 
Helps me very well 
Satisfied
Services are also nice
Knowledgeable
Understandable
Great
Keep it up",2023-06-27 13:51:04,False,True,Verified Patient,,,
"Doctor friendliness,Treatment satisfaction,","Gynae Problems,",0,0,YES,"This doctor very friendly & listen carefully your problems, & very intelligent doctor, we are fully satisfied this doctor ",2023-01-22 05:58:59,False,True,Verified Patient,,,
