tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Doctor friendliness,","Pregnancy,",0,0,YES,"We had an excellent experience with Dr. Poonam Nautiyal during our pregnancy journey and the delivery of our daughter. Dr. Poonam was incredibly professional, compassionate, and attentive throughout the entire process. She provided clear explanations, answered all our questions, and made us feel at ease during every visit and was available on WhatsApp throughout. Her expertise was evident in every aspect of her care. Additionally, she provided exceptional aftercare, ensuring both mother and baby were well taken care of post-delivery. We are truly grateful for her support and highly recommend her to anyone seeking a dedicated and skilled gynecologist.Thank you, Dr. Poonam, for everything!",2024-07-09 12:50:21,False,True,Vss,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Pregnancy Check Up, Prenatal Care,Pre and Post Delivery Care,Pregnancy,",0,0,YES,"I consulted Dr. Poonam after I had already changed two gynecologist during my pregnancy. During my first visit itself I could tell that she ticked all the check boxes I was looking for in my gynae. She was very thorough with all the check points and very patient with all the queries we had as first time to be parents. Through all the visits till the end she ensured we understood in detail every medical situation. She is very conveniently accessible over whatsapp and call. She ensures that her patients not only are physically healthy during the pregnancy but also mentally doing well, creating an atmosphere of ease and comfort. At the end of the delivery we had some minor complications. Not only was she extremely proactive to take all precautionary steps, she ensured we were fully aware and convinved with the decision to go ahead with csec delivery.She ensured that the process was as smooth as possible for me, making the birth of my child the most beautiful experience for me in most comfortable environment possible 
",2024-05-31 18:07:33,False,True,ANKITA SHARMA,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Pre and Post Delivery Care,Labor and Delivery,",0,0,YES,"I recently had the privilege of being under the care of Dr. Poonam Nautiyal for the delivery of my baby, and I cannot express enough gratitude for the exceptional care she provided throughout the entire process. Dr. Poonam's approachability, availability, and dedication to addressing all my questions and concerns truly made my experience unforgettable.

From the moment I first met Dr. Poonam, I felt at ease. She has a warm and welcoming demeanor that instantly put me at ease during what can be a nerve-wracking time. Throughout my pregnancy journey, she was always available, whether it was for a scheduled appointment or an unexpected question that arose. Her availability and willingness to provide support whenever needed were immensely reassuring.

What truly sets Dr. Poonam apart is her commitment to ensuring her patients are fully informed and empowered throughout every decision-making process. She took the time to explain in detail every aspect of her decisions, ensuring I understood the reasoning behind each step of the way. This level of transparency and dedication to patient education not only alleviated any anxieties but also fostered a sense of trust and confidence in her expertise.

Dr. Poonam's professionalism, coupled with her compassionate approach, made my birthing experience smooth and positive. She was by my side every step of the way, offering encouragement and guidance, which made all the difference during such a significant moment in my life.

In conclusion, I wholeheartedly recommend Dr. Poonam to anyone seeking exceptional gynecological care. Her approachable nature, unwavering availability, and commitment to patient-centered care truly set her apart. My experience under her care was nothing short of excellent, and I am incredibly grateful for her support throughout my journey to motherhood.",2024-04-12 16:35:20,False,True,Ankita Sethi,,,
"Doctor friendliness,","Caesarean Section (C Section),",0,0,YES,"can't thank you enough for the special, 😊 excellent care you have provided and for the unique gift you are to your patients.”❣️ “I am blessed that you are my doc! I🙏❣️ have great confidence in you and your abilities” ~ “Thank you so much for the great care and surgery you performed on me.❣️😊
Thank you so much once again 😊🙏",2024-07-09 14:01:38,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Value for money,Treatment satisfaction,Wait time,","Normal Vaginal Delivery (NVD),",0,0,YES,I’ve had an amazing pregnancy journey thanks to Dr Poonam. I could not have been happier with my choice of doctor for the most precious journey of my life. She guided my husband and me through each stage carefully and made sure we are comfortable and understood the process. The best part is that she takes efforts to explain the situation medically in such simple words that a person from non medical background can also understand the various stages and importance of each. Thanks to her I had a Natural Virginal Delivery and I’ll always be grateful to her for that. She also made sure the baby is safe and healthy. I highly highly recommend her!! ,2024-05-01 16:14:57,False,True,Raavya Talreja,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Pregnancy,Pregnancy Hypertension (Preeclampsia/ Eclampsia),Pre and Post Delivery Care,Obstetrics / Antenatal Care,Caesarean Section (C Section),",0,0,YES,"Extremely proactive, very strong commitment and sense of responsibility, deeply empathetic, near 24/7 availability for patient, always flexible to accommodate the patient’s needs, very professional yet so humane, permanently cheerful, humorous and warm.

These are how I would try to summarise Dr Poonam Nautiyal in a few key words.

My wife and I had an earlier unsuccessful pregnancy primarily due to the negligence and lack of responsibility of our previous obstetrician. The event was extremely traumatic for both of us. So the second time, we were quite concerned about getting a good obstetrician, especially who can manage the deep set fear and trauma of my wife, and help us conclude the pregnancy successfully. 

We searched in Practo, and found Dr Poonam, amongst a few others. But we liked her profile since there were many good reviews about her. 

It’s been about 9 months since we have been interacting with Dr Poonam. During the course of time, she managed to create an environment of safety and trust for my wife, through consultations to the extent that my wife got deeply attached to her emotionally. In this time interval of 9 months there have been times where Dr Poonam was unavailable for physical consultation for a couple of weeks. But she provided us with a backup doctor to handle any emergencies. Even while she was travelling, Dr Poonam was still always available for telephonic consultations. Hats off to her dedication. Her concern for my wife seemed similar to her own daughter. 

We are now the happy parents of a newborn baby. The baby was born in Surya Hospitals via Cesarean (because of the previous mishap we didn’t want to take chances). Prior to the surgery, Dr Poonam had let us talk to one of her patients who had just delivered via Cesarean to check how easy or difficult it is to recover after a Cesarean, and associated first hand experiences.

Dr Poonam helped us with the hospitalisation. She also explained to us that we might need an attendant for the mother and baby post operation and gave us references for attendants. She was extremely supportive for all our requests. She got her own team to perform the operation. It was done at the exact time of our choice, the surgery went perfectly well. She even invited me to be there physically in the operating theatre so that I could provide emotional support to my wife during the surgery. I have found Dr Poonam extremely thoughtful and sensitive in these matters - she comprehends these innate needs of a to-be-parent couple so easily. Her emotional intelligence must be extremely high. 

The operation has gone very well. My wife recovered extremely fast from the operation and was mobile within a couple of days (we thought it would be weeks). 

In a world where there are so many reckless doctors (like the one we had the misfortune to consult for our first baby), it is doctors like Dr Poonam who bring back our faith for the medical profession. 

I am humbly thankful, grateful, and fortunate, as a husband and a parent, to have been blessed with an angel like Dr Poonam. 

For any expectant mother / father, I will highly recommend Dr Poonam - you will be in very safe hands, and I am talking from the perspective of a first hand wonderful experience.",2023-07-23 14:17:39,False,True,Haryy G,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Pregnancy Check Up,",0,0,YES,"Dr. Poonam is not only an Excellent Doctor , he is simple, superb Human being. Thank you so much mam (Arati)",2024-07-09 15:28:13,False,True,Verified Patient,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,"," Prenatal Care,Pre and Post Delivery Care,Pregnancy,",0,0,YES,"We came to know about Dr Poonam during my early pregnancy and decided to visit her for prenatal checkups. The best part about her is that she personally gets involved in her cases. She explains things in a very simplified way and gives sufficient time for the patients to ask questions. We asked her a lot of questions during my pregnancy journey and she was very prompt in answering all of them, be it during clinic visit or over call/whatsapp. There were lot of ups and downs during my pregnancy journey but Dr Poonam was there for me both as a doctor and a great emotional support. She was reachable 24x7 and always made me feel I was in safe hands.

I had to undergo C-section due to some underlying conditions but everything went very smooth. I was nervous and tensed when I was admitted and being prepared for the procedure but Dr Poonam personally came into my room, met my family and I felt so calm and relaxed. She guided me very well for post delivery care and breastfeeding. She had promised me a healthy baby and fulfilled the same. By the end of my pregnancy journey it feels like she is family and she is still approachable for any queries we have. For us she is a god figure and approaching her for my pregnancy journey was the best decision we made.",2024-03-17 07:23:21,False,True,Reena Sharma,,,
"Doctor friendliness,","Pregnancy,",0,0,YES,"We had an excellent experience with Dr. Poonam Nautiyal during our pregnancy journey and the delivery of our daughter. Dr. Poonam was incredibly professional, compassionate, and attentive throughout the entire process. She provided clear explanations, answered all our questions, and made us feel at ease during every visit and was available on WhatsApp throughout. Her expertise was evident in every aspect of her care. Additionally, she provided exceptional aftercare, ensuring both mother and baby were well taken care of post-delivery. We are truly grateful for her support and highly recommend her to anyone seeking a dedicated and skilled gynecologist.Thank you, Dr. Poonam, for everything!",2024-07-09 12:50:21,False,True,Vss,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Pregnancy Check Up, Prenatal Care,Pre and Post Delivery Care,Pregnancy,",0,0,YES,"I consulted Dr. Poonam after I had already changed two gynecologist during my pregnancy. During my first visit itself I could tell that she ticked all the check boxes I was looking for in my gynae. She was very thorough with all the check points and very patient with all the queries we had as first time to be parents. Through all the visits till the end she ensured we understood in detail every medical situation. She is very conveniently accessible over whatsapp and call. She ensures that her patients not only are physically healthy during the pregnancy but also mentally doing well, creating an atmosphere of ease and comfort. At the end of the delivery we had some minor complications. Not only was she extremely proactive to take all precautionary steps, she ensured we were fully aware and convinved with the decision to go ahead with csec delivery.She ensured that the process was as smooth as possible for me, making the birth of my child the most beautiful experience for me in most comfortable environment possible 
",2024-05-31 18:07:33,False,True,ANKITA SHARMA,,,
