tags,context,found_helpful_data-review_yes_count,found_helpful_data-review_total_count,recommendation,review,reviewed_on,is_online_consult,recommends,patient_name,reply_text,replied_at,replier_name
"Doctor friendliness,","Infertility Evaluation / Treatment,",0,0,YES,I have seen many gynecologists for my fertility treatment..but never ever seen like our Dr Rashmi Swaroop..she is very very simple person moreover down to earth person..she never let down her patients..hope fertility is nothing but giving hope for people like us to reach our desire to have kid..m still on my way to reach..thank u mam for everything your doing for us in such situations..🙏people should learn vt z simplicity means ..from my doc...love u mam..keep shining alwaz 🥰🤗,2020-02-10 08:40:09,False,True,Sangeetha,"thank u sangeetha , we will definitely reach the goal, don't worry. ",2020-02-12T02:14:09+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Infertility Evaluation / Treatment,",0,0,YES,Dr Rashmi Mam she is the one who treat the patient very friendly and her treatment is outstanding she will give confidence to the patient to not lose hope..  she is like God to our family 🙏🙏very down to earth. I blessed with baby boy Thank you mam for all the support.hadsoft to you mam how much u care for the patient i never saw like you mam once again thank u mam🙏🙏🙏,2023-06-28 05:46:41,False,True,Sahana,Thank u dear. Much obliged,2023-06-28T13:55:19+0000,Dr. Rashmi Swaroop
,"PCOD/PCOS Treatment,",0,0,NO,"******** ********** **** *** ********High waiting time
Doctor is not ready to answer our doubts, she will simply write down the prescription without asking my questions and ask us to leave.
***** ******** ****** **** ***** I went to another doctor ** *** **** ******** *** ******* **** **** **** ** *********** *** *** ********* ****** **** *************** ********* *** *** * ****** ************* ************** ****** ** *** ",2024-06-22 14:51:13,False,False,Harshika,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,Value for money,","Fibroids Removal Surgery,",0,0,YES,"No words to express my gratitude towards Dr Rashmi.
*** ** ********* ************** ************ *** **** *********** she makes you feel comfortable and is very trustworthy.
It’s hard to find doctors nowadays like her who actually keep patients health as a priority.",2023-05-12 03:51:22,False,True,Rashmi Varule,"Thankbu dear, for those kind words",2023-06-28T13:43:00+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,","Infertility Evaluation / Treatment,",0,0,YES,"Doctor is very friendly and she will explain about issues clearly, doctor will treat each and every issues personally,
We are waiting to get possitive results soon thank you mam,

I would like to  recommend to Rashmi mam who are facing fertility issues ",2022-11-26 04:09:35,False,True,Chaithra  Rajath,Thank u dear. We will achieve dont worry,2022-12-13T08:26:37+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","In-Vitro Fertilization (IVF),",0,0,YES,"I would like to thanks Dr Rashmi because of the way she handles patients health, treatment and also supporting them mentally and throughout the process. I must admit I have never met such a kind and noble and down to earth patient centric doctor. She made our dream come true and for that million thanks to doctor. I would definitely recommend the Dr Rashmi for any one, who is wishing to become parents. Thank you very much doctor.",2022-09-14 10:57:52,False,True,Lochana Anand Dussa ,"Thank u lochana. u both have been a wonderful couple. U much grateful , u remember our journey even  after more than year of ur kids delivery. U husband has been a great support for u throught, I remember everything. Wish God's grace  always on ur family",2022-09-14T13:55:11+0000,Dr. Rashmi Swaroop
"Doctor friendliness,","Infertility Evaluation / Treatment,",0,0,YES,I have never seen such a doctor who solves our problem so easily..... There are no words to explain about this doctor..... I would like to tell one thing from the bottom of my heart**** *** ** * ******* *** *** ********* ****************,2022-08-25 10:06:03,False,True,sandhya sapare,Thank u from bottom of my heart😊,2022-09-07T09:26:04+0000,Dr. Rashmi Swaroop
"Wait time,","Infertility Evaluation / Treatment,",0,0,YES,"Doctor and sisters are very helpful they make us understand each and every small thing 
They look after their patients even on phone calls whenever we have any kind of doubt or any problem regarding medicine or health Banu sister is always available on call ",2021-05-11 10:14:53,False,True,Vasantha ,thank u,2021-05-11T14:15:23+0000,Dr. Rashmi Swaroop
"Doctor friendliness,","Infertility Evaluation / Treatment,",0,0,YES,I have seen many gynecologists for my fertility treatment..but never ever seen like our Dr Rashmi Swaroop..she is very very simple person moreover down to earth person..she never let down her patients..hope fertility is nothing but giving hope for people like us to reach our desire to have kid..m still on my way to reach..thank u mam for everything your doing for us in such situations..🙏people should learn vt z simplicity means ..from my doc...love u mam..keep shining alwaz 🥰🤗,2020-02-10 08:40:09,False,True,Sangeetha,"thank u sangeetha , we will definitely reach the goal, don't worry. ",2020-02-12T02:14:09+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Infertility Evaluation / Treatment,",0,0,YES,Dr Rashmi Mam she is the one who treat the patient very friendly and her treatment is outstanding she will give confidence to the patient to not lose hope..  she is like God to our family 🙏🙏very down to earth. I blessed with baby boy Thank you mam for all the support.hadsoft to you mam how much u care for the patient i never saw like you mam once again thank u mam🙏🙏🙏,2023-06-28 05:46:41,False,True,Sahana,Thank u dear. Much obliged,2023-06-28T13:55:19+0000,Dr. Rashmi Swaroop
,"PCOD/PCOS Treatment,",0,0,NO,"******** ********** **** *** ********High waiting time
Doctor is not ready to answer our doubts, she will simply write down the prescription without asking my questions and ask us to leave.
***** ******** ****** **** ***** I went to another doctor ** *** **** ******** *** ******* **** **** **** ** *********** *** *** ********* ****** **** *************** ********* *** *** * ****** ************* ************** ****** ** *** ",2024-06-22 14:51:13,False,False,Harshika,,,
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Wait time,Value for money,","Fibroids Removal Surgery,",0,0,YES,"No words to express my gratitude towards Dr Rashmi.
*** ** ********* ************** ************ *** **** *********** she makes you feel comfortable and is very trustworthy.
It’s hard to find doctors nowadays like her who actually keep patients health as a priority.",2023-05-12 03:51:22,False,True,Rashmi Varule,"Thankbu dear, for those kind words",2023-06-28T13:43:00+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,","Infertility Evaluation / Treatment,",0,0,YES,"Doctor is very friendly and she will explain about issues clearly, doctor will treat each and every issues personally,
We are waiting to get possitive results soon thank you mam,

I would like to  recommend to Rashmi mam who are facing fertility issues ",2022-11-26 04:09:35,False,True,Chaithra  Rajath,Thank u dear. We will achieve dont worry,2022-12-13T08:26:37+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","In-Vitro Fertilization (IVF),",0,0,YES,"I would like to thanks Dr Rashmi because of the way she handles patients health, treatment and also supporting them mentally and throughout the process. I must admit I have never met such a kind and noble and down to earth patient centric doctor. She made our dream come true and for that million thanks to doctor. I would definitely recommend the Dr Rashmi for any one, who is wishing to become parents. Thank you very much doctor.",2022-09-14 10:57:52,False,True,Lochana Anand Dussa ,"Thank u lochana. u both have been a wonderful couple. U much grateful , u remember our journey even  after more than year of ur kids delivery. U husband has been a great support for u throught, I remember everything. Wish God's grace  always on ur family",2022-09-14T13:55:11+0000,Dr. Rashmi Swaroop
"Doctor friendliness,","Infertility Evaluation / Treatment,",0,0,YES,I have never seen such a doctor who solves our problem so easily..... There are no words to explain about this doctor..... I would like to tell one thing from the bottom of my heart**** *** ** * ******* *** *** ********* ****************,2022-08-25 10:06:03,False,True,sandhya sapare,Thank u from bottom of my heart😊,2022-09-07T09:26:04+0000,Dr. Rashmi Swaroop
"Wait time,","Infertility Evaluation / Treatment,",0,0,YES,"Doctor and sisters are very helpful they make us understand each and every small thing 
They look after their patients even on phone calls whenever we have any kind of doubt or any problem regarding medicine or health Banu sister is always available on call ",2021-05-11 10:14:53,False,True,Vasantha ,thank u,2021-05-11T14:15:23+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,","Gynae Problems,",0,0,YES,"I had a water bubble and i visited hope fertility fr the same. I got a very good result un just 2 months. I like to reffer my frnds fr any abdomen prblm. Dr. Rashmi swaroop response very well with the patients problem. She advise how to take care of our health. I am satisfied with the treatment. 
",2021-03-23 13:40:31,False,True,Anukishan  Manjunath,thank you dear,2021-03-26T06:34:44+0000,Dr. Rashmi Swaroop
"Wait time,","Infertility Evaluation / Treatment,",0,0,YES,"*** ** *** **** ****** ** ********** Simple, down to earth, straight to point, makes you comfortable and gives you confidence. Ray of hope who blessed me with this miracles.I am so grateful to her for this beautiful journey, 7 more months to go:) one of the best gift of life. Must visit for any infertility related problem.",2021-02-27 06:50:23,False,True,C.Dhara,thank u dhara. overwhelming words,2021-02-27T08:30:26+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,Value for money,Wait time,","Fertilisation In Vitro - Embryo Transfer (IVF - ET),",0,0,YES,"Mam is vry friendly, she explained my situation and that made us to take proper decision.. lnfact I had Soo many complications, I lost hope in life,I had 4 ivf failures in vry big reputed hospitals, but finally I came into Rashmi mam hands, she did miracles and wonders in our life, my treatment is successful.. Loads of thanks, love and respect to you mam.",2020-11-27 05:53:38,False,True,Mrs. MAMATHA M L  ,thank u. i am overwhelmed.,2020-11-27T12:05:38+0000,Dr. Rashmi Swaroop
"Doctor friendliness,Explanation of the health issue,Treatment satisfaction,","Pregnancy,Gynaec Laparoscopy,",0,0,YES,No words to express my experience of the  successful journey with the doctor.it was amazing . Mam was very dedicated and friendly. A patient  can freely interact with her and gives sufficient time to express our health issues   and with patience doctor used to  answer. always receives patients with a  beautiful smile  and she used to encourage me  and change  my mind with only positive vibes  ... doctor you are a star ⭐ i am pregnant now it's all bcoz of your treatment and support .... God bless you mam ..  must recommended doctor for everyone .  thanks a lot doctor ... i will never forget you in my life ... my prayers is always with you doctor .. with lots lots lots of love 💖 🙏 my dream came true its because of you ..thank you once again 💝,2023-03-13 17:09:49,False,True,Verified Patient,,,
